Begin time	End time	Duration	Annotation
00:02:10.400	00:02:11.785	1.384999999999991	2001
00:02:15.592	00:02:16.975	1.3829999999999814	2001
00:02:25.461	00:02:26.959	1.4979999999999905	2001
00:10:44.807	00:10:45.857	1.0499999999999545	2001
00:11:01.734	00:11:02.965	1.2309999999999945	2001
00:11:11.591	00:11:12.543	0.9519999999999982	2001
00:11:21.680	00:11:22.806	1.12600000000009	2001
00:11:31.386	00:11:32.303	0.91700000000003	2001
00:11:56.951	00:11:58.205	1.254000000000019	2001
00:12:02.768	00:12:04.138	1.3700000000000045	2001
00:12:51.599	00:12:52.934	1.3349999999999227	2001
00:13:48.825	00:13:50.079	1.2539999999999054	2001
00:13:58.960	00:14:00.226	1.2659999999999627	2001
00:14:16.027	00:14:17.306	1.2789999999999964	2001
00:14:24.384	00:14:25.461	1.0769999999999982	2001
00:14:56.849	00:14:58.024	1.1749999999999545	2001
00:15:21.543	00:15:22.996	1.4529999999999745	2001
00:15:29.030	00:15:30.392	1.36200000000008	2001
00:16:27.163	00:16:27.971	0.8079999999999927	2001
00:22:07.608	00:22:08.539	0.93100000000004	2001
