Begin time	End time	Duration	Annotation
00:03:23.796	00:03:25.265	1.468999999999994	2001
00:04:03.958	00:04:05.284	1.3259999999999934	2001
00:04:18.098	00:04:19.673	1.5749999999999886	2001
00:04:24.114	00:04:25.453	1.3389999999999986	2001
00:05:20.261	00:05:21.300	1.0389999999999873	2001
00:05:21.771	00:05:22.891	1.1200000000000045	2001
00:05:24.645	00:05:25.649	1.004000000000019	2001
00:06:40.800	00:06:42.294	1.4939999999999714	2001
00:08:41.633	00:08:42.792	1.1589999999999918	2001
00:12:28.948	00:12:30.084	1.1359999999999673	2001
