Begin time	End time	Duration	Annotation
00:00:05.110	00:00:05.771	0.6609999999999996	8000
00:00:10.016	00:00:10.792	0.7759999999999998	8000
00:00:17.208	00:00:17.927	0.7190000000000012	8000
00:00:18.461	00:00:19.229	0.7680000000000007	8000
00:01:04.702	00:01:05.453	0.7510000000000048	8000
00:01:26.351	00:01:26.988	0.6370000000000005	8000
00:01:52.351	00:01:52.988	0.6370000000000005	8000
00:02:02.204	00:02:02.914	0.710000000000008	8000
00:02:42.294	00:02:43.118	0.8239999999999839	8000
00:02:46.536	00:02:47.398	0.8619999999999948	8000
00:04:55.984	00:04:56.678	0.6940000000000168	8000
00:06:55.694	00:06:56.400	0.7059999999999604	8000
