Begin time	End time	Duration	Annotation
00:01:46.049	00:01:46.882	0.8329999999999984	8000
00:01:59.616	00:02:00.327	0.7109999999999985	8000
00:02:23.894	00:02:24.669	0.7750000000000057	8000
00:02:39.306	00:02:40.012	0.7059999999999889	8000
00:03:08.286	00:03:08.992	0.7059999999999889	8000
00:03:40.506	00:03:41.159	0.6529999999999916	8000
00:03:46.424	00:03:47.167	0.742999999999995	8000
00:03:47.759	00:03:48.522	0.7630000000000052	8000
00:04:35.869	00:04:36.624	0.7549999999999955	8000
00:04:40.559	00:04:41.261	0.7019999999999982	8000
00:04:46.157	00:04:46.932	0.7750000000000341	8000
00:05:26.596	00:05:27.420	0.8240000000000123	8000
00:05:29.004	00:05:29.657	0.6529999999999632	8000
