Begin time	End time	Duration	Annotation
00:01:14.800	00:01:16.302	1.5020410000000055	1000
00:01:34.114	00:01:35.840	1.7260769999999894	1000
00:01:41.460	00:01:43.398	1.9388660000000044	1000
00:01:54.033	00:01:55.914	1.8808169999999933	1000
00:02:23.070	00:02:24.753	1.6834460000000036	1000
00:02:27.377	00:02:29.072	1.6950570000000198	1000
00:02:32.369	00:02:33.853	1.4837190000000078	1000
00:02:50.980	00:02:52.164	1.1842180000000155	1000
00:03:01.110	00:03:02.318	1.2085260000000062	1000
00:03:03.240	00:03:04.237	0.9964630000000056	1000
