Begin time	End time	Duration	Annotation
00:00:21.618	00:00:22.500	0.8820000000000014	8000
00:00:23.464	00:00:24.294	0.8300000000000018	8000
00:00:54.869	00:00:55.681	0.8119999999999976	8000
00:01:05.213	00:01:06.038	0.8250000000000028	8000
00:01:28.358	00:01:29.066	0.7079999999999984	8000
00:01:40.833	00:01:41.506	0.6730000000000018	8000
00:02:25.647	00:02:26.489	0.842000000000013	8000
00:02:47.805	00:02:48.786	0.9809999999999945	8000
00:03:28.492	00:03:29.293	0.8010000000000161	8000
00:03:47.602	00:03:48.420	0.8179999999999836	8000
00:03:48.508	00:03:49.256	0.7479999999999905	8000
00:03:58.219	00:03:59.061	0.842000000000013	8000
00:04:14.688	00:04:15.547	0.8590000000000089	8000
00:04:31.882	00:04:32.666	0.7839999999999918	8000
00:04:35.302	00:04:36.004	0.7019999999999982	8000
00:05:08.518	00:05:09.441	0.9230000000000018	8000
